objectid,filename,title,creator,difficultylevel,materialsused,subject,description,jewelrytype,file,identifier,type,format,filesize,rights,rightsstatement
cr001,cr001.jpg,Blue Aventurine Heart,Linda Brown,Intermediate,Blue aventurine crystal gem; soft copper; Jewelry pliers,Necklace; Blue Aventurine; Handmade,Handmade using skill of wrapping copper wire around crystal gemstone; Wrapping the Blue Aventurine into shape; Molding heart shape onto front of piece,Necklace,cr001,CR-001,image; stillImage,image/jpeg,127 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr002,cr002.jpg,Blue Calcite Hoops,Linda Brown,Hard,Silver plated copper; Calcite; Hand drill; Blue Calcite crystal gemstone; Jewelry pliers,Earrings; Blue Calcite; Handmade,Handmade using skill of wrapping through crystal gemstone after drilling hole; threading crystal into shape of hoop,Earrings,cr002,CR-002,image; stillImage,image/jpeg,105 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr003,cr003.jpg,Carnelian Heart,Linda Brown,Intermediate,Soft copper wire; gold plated copper; brown nylon cord; Carnelian crystal gemstone; Jewelry pliers,Necklace; Carnelian; Handmade; Intermediate,Handmade using skill of wrapping around crystal gemstone; wrapping crystal into shape; Twisting copper wire together along surface of front of piece,Necklace,cr003,CR-003,image; stillImage,image/jpeg,309 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr004,cr004.jpg,Citrine Earrings,Linda Brown,Easy,Soft copper wire; bronze plated copper; Citrine crystal gemstone; Jewelry pliers,Earrings; Citrine; Easy,Handmade using skill of wrapping around crystal gemstone in a upward sprial technique; wrapping crystal into shape,Earrings,cr004,CR-004,image; stillImage,image/jpeg,72 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr005,cr005.jpg,Citrine Necklace,Linda Brown,Hard,Soft copper wire; gold plated copper; Citrine crystal gemstone; Jewelry pliers,Necklace; Citrine; Hard; Handmade,Handmade using skill of wrapping around crystal gemstone; creating copper loops to link and create wire chain; Next start wrapping crystal gemstone with copper around the edge; Then weaved the gold plated copper as reinforcement along citrine piece,Necklace,cr005,CR-005,image; stillImage,image/jpeg,180 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr006,cr006.jpg,Clear Quartz Heart,Linda Brown,Intermediate,Silver plated copper wire; gold plated copper wire; Clear Quartz crystal gemstone; Jewelry pliers,Necklace; Clear Quartz; Intermediate,Handmade using skill of wrapping around crystal gemstone; wrapping crystal into shape; Twisting copper wire together around surface of front of piece to create frame of heart,Necklace,cr006,CR-006,image; stillImage,image/jpeg,107 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr007,cr007.jpg,Clear Quartz Ring,Linda Brown,Intermediate,Silver plated copper wire; Clear Quartz crystal gemstone; Ring Sizer; Jewelry pliers,Ring; Clear Quartz; Intermediate,Handmade using skill of wrapping around crystal gemstone; wrapping crystal into shape; Centering the Clear Quartz within the silver plated copper; Next using ring sizer to appropriate size to complete ring; Wrapping silver plated copper around band of ring to secure size and form,Ring,cr007,CR-007,image; stillImage,image/jpeg,151 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr008,cr008.jpg,Emerald Necklace,Linda Brown,Intermediate,Soft copper wire; gold plated copper; brown nylon cord; Emerald crystal gemstone; Jewelry pliers,Necklace; Emerald; Easy,Handmade using skill of wrapping around crystal gemstone; wrapping crystal into shape; Twisting copper wire together along surface of front of piece,Necklace,cr008,CR-008,image; stillImage,image/jpeg,100 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr009,cr009.jpg,Garnet Heart,Linda Brown,Hard,Soft copper wire; gold plated copper; Garnet crystal gemstone; Jewelry pliers,Necklace; Garnet; Hard; Handmade,Handmade using skill of wrapping around crystal gemstone; wrapping crystal into shape; Twisting copper wire together around surface of front of piece to create Heart frame aroud the Garnet piece; using more gold plated copper to secure Garnet in center,Necklace,cr009,CR-009,image; stillImage,image/jpeg,489 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr010,cr010.jpg,Garnet Necklace,Linda Brown,Hard,Soft copper wire; Black plated copper; Garnet crystal gemstone; Jewelry pliers,Necklace; Garnet; Hard; Handmade,Handmade using skill of wrapping around crystal gemstone; creating copper loops to link and create wire chain; wrapping crystal gemstone with copper around the edge and other sides of Garnet; Then weaved the black plated copper as reinforcement along Garnet piece,Necklace,cr010,CR-010,image; stillImage,image/jpeg,144 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
